Cars,Price,Mileage
2017 Hyundai Elantra 4dr Sdn Auto GL,"$20,000","Mileage 60,000 km"
2016 Honda Accord Sedan 4dr I4 CVT Sport w-Honda Sensing,"$20,000","Mileage 59,000 km"
2017 Honda Accord Sedan 4dr I4 CVT Sport,"$20,000","Mileage 71,756 km"
2018 Toyota Corolla LE CVT,"$14,990","Mileage 68,000 km"
2014 Volkswagen Passat 4dr Sdn 1.8 TSI Auto Highline,"$12,999","Mileage 99,800 km"
2017 Kia Rio 4dr Sdn Auto LX+,"$10,200","Mileage 71,300 km"
2005 BMW 3 Series 4dr Sdn AWD 330xi,"$9,999","Mileage 195,000 km"
2013 Nissan Altima 4dr Sdn I4 CVT 2.5 SL,"$8,900","Mileage 134,096 km"
2012 Hyundai Sonata 4dr Sdn 2.4L Auto Limited w/Navi,"$7,499","Mileage 160,000 km"
2006 BMW 3 Series 4dr Sdn RWD 323i,"$5,300","Mileage 139,700 km"
2009 Mazda Mazda3 4dr Sdn Man GT,"$3,000","Mileage 182,000 km"
2016 Dodge Dart 4dr Sdn GT Sport Blacktop *Ltd Avail*,"$20,000","Mileage 8,000 km"
2012 Audi S4 4dr Sdn Man,"$19,999","Mileage 138,200 km"
2015 Hyundai Genesis Sedan 4dr Sdn Technology,"$19,999","Mileage 98,852 km"
2018 Chevrolet Cruze 4dr Sdn 1.6L LT w-1SG,"$19,999","Mileage 4,500 km"
2015 Chrysler 200 4dr Sdn Limited FWD,"$19,995","Mileage 155,000 km"
2015 Subaru Legacy 4dr Sdn CVT 2.5i w/Limited Pkg,"$19,995","Mileage 56,900 km"
2010 Audi A6 4dr Sdn quattro 3.0L Special Edition w/Nav,"$19,900","Mileage 154,000 km"
2015 Audi A3 4dr Sdn quattro 2.0T Technik,"$19,800","Mileage 45,000 km"
2013 Mercedes-Benz C-Class 4dr Sdn C 350 4MATIC,"$19,800","Mileage 38,000 km"
2013 Audi A6 4dr Sdn quattro 3.0T Premium,"$19,500","Mileage 58,000 km"
2018 Chevrolet Impala 4dr Sdn LT w/1LT,"$19,500","Mileage 52,300 km"
